qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q41370,116,46,68,96,14
Q321469,6,6,0,6,2
Q360378,26,26,0,25,2
Q5638717,3,0,3,3,2
Q1141064,17,13,4,15,3
Q321804,9,7,2,9,3
Q140100,11,10,1,11,3
Q816667,15,15,0,14,3
Q124375125,12,0,12,12,3
Q319116,13,13,0,12,1
Q133445157,1,1,0,1,1
Q37085,222,207,15,192,13
Q272277,15,15,0,14,2
Q20502598,2,2,0,2,1
Q9077,3,0,3,3,2
Q6710215,1,0,1,1,1
Q205372,1,0,1,1,1
Q6978950,1,1,0,1,1
Q123121449,1,0,1,1,1
Q362021,1,0,1,1,1
Q167185,1,1,0,1,1
Q125296348,1,0,1,1,1
Q7180687,5,5,0,5,4
Q114905766,1,1,0,1,1
Q133306277,1,1,0,1,1
Q124554205,1,1,0,1,1
Q133446358,1,0,1,1,1
Q20502574,1,1,0,1,1
Q132156345,1,0,1,1,1
Q139393705,1,1,0,1,1
Q135409140,1,1,0,1,1
Q133271521,1,1,0,1,1
Q4057937,2,2,0,2,2
Q123121734,1,0,1,1,1
Q133275527,1,1,0,1,1
Q133306533,1,0,1,1,1
Q133300641,1,1,0,1,1
Q133301315,1,0,1,1,1
Q133305413,1,1,0,1,1
Q133305434,1,0,1,1,1
Q140235999,1,1,0,1,1
Q9355142,1,1,0,1,1
Q139587497,1,1,0,1,1
Q132156462,1,0,1,1,1
Q133311031,1,1,0,1,1
Q133311044,1,0,1,1,1
Q110159933,1,0,1,1,1
Q1056931,1,0,1,1,1
Q4695120,1,1,0,1,1
Q138720643,1,1,0,1,1
Q9166659,1,1,0,1,1
Q139587667,1,1,0,1,1
Q5949258,1,0,1,1,1
Q139973134,1,1,0,1,1
Q139488721,1,0,1,1,1
Q887987,1,0,1,1,1
Q878675,1,0,1,1,1
Q1370913,1,0,1,1,1
Q123136728,1,0,1,1,1
Q123136730,1,0,1,1,1
Q123136734,1,0,1,1,1
Q2415069,1,0,1,1,1
Q467115,15,15,0,14,3
Q108422651,5,5,0,4,1
Q159888,4,4,0,4,1
Q5637555,9,9,0,8,1
Q123126111,2,2,0,2,1
Q12058221,3,3,0,2,1
Q9266968,2,2,0,1,1
Q13589419,4,4,0,3,1
Q313219,64,47,17,54,8
Q26835883,9,0,9,9,6
Q8069663,1,1,0,1,1
Q145746,1,0,1,1,1
Q2590260,12,12,0,9,4
Q211663,32,32,0,27,4
Q7499062,2,2,0,2,2
Q45090,1,0,1,1,1
Q2090113,1,1,0,1,1
Q25491054,20,20,0,18,1
Q313228,1,0,1,1,1
Q6817157,3,3,0,3,1
Q18510709,5,5,0,5,1
Q313223,6,6,0,5,2
Q865263,2,2,0,2,1
Q273517,7,7,0,6,2
Q2903509,3,3,0,3,1
Q71267,1,1,0,1,1
Q313415,25,22,3,24,3
Q313224,26,19,7,23,4
Q816397,3,2,1,3,2
Q6202803,1,0,1,1,1
Q5750060,1,0,1,1,1
Q126689,23,23,0,20,2
Q114841071,3,0,3,3,2
Q1686571,3,3,0,3,1
Q10293838,2,0,2,2,1
Q319020,8,8,0,7,1
Q138912203,1,1,0,1,1
Q313230,9,9,0,8,1
Q313221,11,9,2,10,1
Q887994,3,3,0,2,1
Q114906247,2,0,2,2,1
Q133454476,2,2,0,1,1
Q235901,105,101,4,95,7
Q721295,16,15,1,15,5
Q1277966,1,0,1,1,1
Q65176077,1,1,0,1,1
Q114008399,1,1,0,1,1
Q16258370,1,1,0,1,1
Q7734,1,0,1,1,1
Q3344859,1,0,1,1,1
Q133507,57,57,0,48,4
Q6605722,7,7,0,7,1
Q7074556,11,11,0,8,1
Q289957,2,0,2,2,1
Q9181,1,0,1,1,1
Q671872,1,0,1,1,1
Q127170,2,2,0,2,1
Q313225,3,3,0,2,1
Q206238,5,5,0,5,1
Q114685996,3,1,2,3,1
Q717814,25,25,0,22,2
Q44203,20,20,0,16,1
Q1531578,14,14,0,12,1
Q133322634,2,0,2,2,1
Q6586959,2,2,0,2,1
Q124790113,2,0,2,2,1
Q107646275,1,1,0,1,1
Q313213,4,4,0,4,1
Q4833002,1,0,1,1,1
Q133454594,1,0,1,1,1
Q313215,1,1,0,1,1
