qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q70899,1,0,1,1,1
Q107626,1,0,1,1,1
Q682531,1,0,1,1,1
Q844433,1,0,1,1,1
Q10297002,1,0,1,1,1
Q927410,1,0,1,1,1
Q213027,1,0,1,1,1
Q156290,1,0,1,1,1
Q10921342,1,0,1,1,1
Q81422,2,0,2,2,1
Q200902,3,0,3,3,1
Q229702,2,1,1,2,1
Q200637,2,0,2,2,1
Q1148172,2,0,2,2,1
Q1964706,1,0,1,1,1
Q1790796,1,0,1,1,1
Q1684266,2,0,2,2,1
Q1481766,1,0,1,1,1
Q30973,1,0,1,1,1
Q1481751,1,0,1,1,1
Q722770,1,0,1,1,1
Q2918052,1,0,1,1,1
Q1068499,1,0,1,1,1
Q1330627,1,0,1,1,1
Q1138595,3,0,3,3,1
Q1369215,2,0,2,2,1
Q946939,1,0,1,1,1
Q204797,2,0,2,2,1
Q23639444,1,0,1,1,1
Q32945196,1,0,1,1,1
Q13143737,1,0,1,1,1
Q3085764,2,0,2,1,1
Q124169540,1,0,1,1,1
Q125399193,1,0,1,1,1
Q124305605,1,0,1,1,1
Q201861,1,0,1,1,1
Q3541553,1,0,1,1,1
Q2335214,1,0,1,1,1
Q1147704,1,0,1,1,1
Q2426606,1,0,1,1,1
Q457520,3,0,3,3,1
Q1815870,1,0,1,1,1
Q625667,2,0,2,1,1
Q2558734,1,0,1,1,1
Q2898616,1,0,1,1,1
Q2910407,1,0,1,1,1
Q13418757,1,0,1,1,1
Q1827950,3,0,3,2,1
Q502282,3,0,3,3,1
Q1648259,3,0,3,2,1
Q1553059,4,0,4,3,1
Q2905798,1,0,1,1,1
Q7493584,1,0,1,1,1
Q2905463,1,0,1,1,1
Q18276083,1,0,1,1,1
Q5638029,1,0,1,1,1
Q7904500,1,0,1,1,1
Q63433898,1,0,1,1,1
Q115760490,1,0,1,1,1
Q14925390,1,0,1,1,1
Q138636936,1,0,1,1,1
