qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q2424977,11,11,0,2,2
Q6182499,1,0,1,1,1
Q115052422,1,0,1,1,1
Q115052531,1,0,1,1,1
Q115052712,1,0,1,1,1
Q2346367,29,29,0,2,2
Q2068934,4,4,0,1,1
Q362021,44,36,8,5,5
Q1563312,15,13,2,4,4
Q20723908,19,13,6,5,5
Q6577515,154,153,1,16,16
Q7999473,2,2,0,1,1
Q4205417,3,2,1,2,2
Q132131679,1,0,1,1,1
Q124290973,1,1,0,1,1
Q5354448,1,1,0,1,1
Q20888416,6,6,0,2,2
Q3603527,5,5,0,2,2
Q2915270,9,3,6,3,3
Q16128781,2,0,2,2,2
Q3541493,1,0,1,1,1
Q2929707,1,0,1,1,1
Q2858222,1,0,1,1,1
Q28730,364,362,2,22,22
Q207389,1,0,1,1,1
Q132132686,1,0,1,1,1
Q6959218,4,3,1,2,2
Q9077,2,0,2,1,1
Q51676,2,0,2,1,1
Q289957,1,0,1,1,1
Q976765,1,1,0,1,1
Q176125,1,0,1,1,1
Q807236,1,0,1,1,1
Q1133523,1,0,1,1,1
Q74891,78,78,0,8,8
Q4695144,1,0,1,1,1
Q132131762,1,1,0,1,1
Q132132935,6,6,0,2,2
Q10581739,3,3,0,2,2
Q1341397,11,11,0,4,4
Q9138866,3,1,2,2,2
Q114833216,1,0,1,1,1
Q1133337,9,8,1,3,3
Q132145387,4,0,4,2,2
Q390086,6,6,0,1,1
Q45090,31,16,15,6,6
Q11903854,7,7,0,2,2
Q16130530,7,7,0,2,2
Q41370,327,323,4,15,15
Q192785,22,14,8,5,5
Q96105737,7,7,0,1,1
Q2825091,1,1,0,1,1
Q400257,15,13,2,3,3
Q1234538,5,5,0,2,2
Q7041639,1,1,0,1,1
Q2559051,1,1,0,1,1
Q321804,9,8,1,3,3
Q1709507,24,19,5,3,3
Q4416778,24,24,0,3,3
Q400266,6,6,0,3,3
Q7128770,1,1,0,1,1
Q106096033,1,0,1,1,1
Q138720692,1,1,0,1,1
Q1154317,5,5,0,1,1
Q1141064,1,0,1,1,1
Q167185,14,14,0,3,3
Q125296348,1,0,1,1,1
Q1391553,11,11,0,1,1
Q6039896,5,5,0,1,1
