qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs,bookRefs,books
Q138713654,2,0,2,2,2,1,1CH
Q138778321,2,0,2,2,2,1,1CH
Q139962121,2,2,0,2,2,1,1CH
Q139672422,2,2,0,2,2,1,1CH
Q138701460,2,0,2,2,2,1,1CH
Q139575398,2,0,2,2,2,1,1CH
Q138795191,3,0,3,2,2,1,1CH
Q139574917,6,6,0,2,2,1,1CH
Q140247878,2,1,1,2,2,1,1CH
Q139492418,2,0,2,1,1,1,1CH
Q139268185,1,1,0,1,1,1,1CH
Q138721705,1,0,1,1,1,1,1CH
Q139270825,1,0,1,1,1,1,1CH
Q139601093,1,1,0,1,1,1,1CH
Q138786777,1,0,1,1,1,1,1CH
Q140382330,1,1,0,1,1,1,1CH
Q138713763,5,3,2,5,5,3,1CH;EZR;NEH
Q139678428,5,3,2,5,5,3,1CH;EZR;NEH
Q138720670,1,1,0,1,1,1,1CH
Q138768325,1,1,0,1,1,1,1CH
Q139580941,1,1,0,1,1,1,1CH
Q2903701,1,1,0,1,1,1,1CH
Q5410951,1,1,0,1,1,1,1CH
Q63555805,2,2,0,2,2,1,1CH
Q65303389,1,1,0,1,1,1,1CH
Q65303210,1,1,0,1,1,1,1CH
Q132166874,1,0,1,1,1,1,1CH
Q139488705,1,0,1,1,1,1,1CH
Q138679459,1,1,0,1,1,1,1CH
Q22039166,1,0,1,1,1,1,1CH
Q133269074,1,1,0,1,1,1,1CH
Q138035004,1,1,0,1,1,1,1CH
Q65303551,1,1,0,1,1,1,1CH
Q138691037,1,0,1,1,1,1,1CH
Q139890341,1,0,1,1,1,1,1CH
Q139270941,1,1,0,1,1,1,1CH
Q140312273,1,1,0,1,1,1,1CH
Q139928707,1,0,1,1,1,1,1CH
Q20502064,1,1,0,1,1,1,1CH
Q140068854,1,0,1,1,1,1,1CH
Q126009808,1,1,0,1,1,1,1CH
Q139575444,1,0,1,1,1,1,1CH
Q140355744,1,1,0,1,1,1,1CH
Q140133636,1,1,0,1,1,1,1CH
Q140042758,1,1,0,1,1,1,1CH
Q139383428,1,1,0,1,1,1,1CH
Q139297520,1,1,0,1,1,1,1CH
Q123159226,1,1,0,1,1,1,1CH
Q138713172,1,1,0,1,1,1,1CH
Q138835411,1,1,0,1,1,1,1CH
Q139104470,2,2,0,1,1,1,1CH
Q138942310,2,2,0,1,1,1,1CH
Q138721721,2,2,0,1,1,1,1CH
Q3567244,13,9,4,7,7,3,1CH;2CH;PSA
Q140486113,1,0,1,1,1,1,1CH
Q140032442,3,3,0,2,2,1,1CH
Q139490441,2,2,0,1,1,1,1CH
Q140289012,4,4,0,3,3,2,1CH;2CH
Q130323174,1,1,0,1,1,1,1CH
Q140185473,1,1,0,1,1,1,1CH
Q123159228,1,1,0,1,1,1,1CH
Q5637565,6,5,1,1,1,1,1CH
Q138843527,2,2,0,2,2,1,1CH
Q140130800,1,1,0,1,1,1,1CH
Q138715703,1,1,0,1,1,1,1CH
Q6394968,1,0,1,1,1,1,1CH
Q16595329,3,0,3,2,2,1,1CH
Q140377287,1,1,0,1,1,1,1CH
Q140131269,2,0,2,1,1,1,1CH
Q140289745,1,1,0,1,1,1,1CH
Q138768384,1,1,0,1,1,1,1CH
Q140355674,2,0,2,1,1,1,1CH
Q139883648,1,0,1,1,1,1,1CH
Q138863136,1,0,1,1,1,1,1CH
Q138863149,1,1,0,1,1,1,1CH
Q138972247,2,2,0,1,1,1,1CH
Q140486002,1,1,0,1,1,1,1CH
Q138847635,1,1,0,1,1,1,1CH
Q140172519,1,1,0,1,1,1,1CH
Q140472316,1,1,0,1,1,1,1CH
Q139268271,1,1,0,1,1,1,1CH
Q133456354,1,0,1,1,1,1,1CH
Q141017653,5,5,0,1,1,1,1CH
Q140053768,3,3,0,1,1,1,1CH
Q140472345,1,1,0,1,1,1,1CH
Q140377248,1,1,0,1,1,1,1CH
Q139928723,1,1,0,1,1,1,1CH
Q139660799,1,1,0,1,1,1,1CH
Q139847189,1,1,0,1,1,1,1CH
Q138679908,1,1,0,1,1,1,1CH
Q138786846,1,1,0,1,1,1,1CH
Q140130775,3,3,0,1,1,1,1CH
Q138863467,1,0,1,1,1,1,1CH
Q138721781,1,1,0,1,1,1,1CH
Q138862803,1,1,0,1,1,1,1CH
Q140312264,1,1,0,1,1,1,1CH
Q138786901,1,0,1,1,1,1,1CH
Q140030800,1,1,0,1,1,1,1CH
Q139580593,1,0,1,1,1,1,1CH
Q139383525,1,1,0,1,1,1,1CH
Q139575467,1,1,0,1,1,1,1CH
Q139963677,1,1,0,1,1,1,1CH
Q11955533,1,1,0,1,1,1,1CH
Q139583253,1,1,0,1,1,1,1CH
Q139890975,1,1,0,1,1,1,1CH
Q140288456,1,1,0,1,1,1,1CH
Q140289071,1,0,1,1,1,1,1CH
Q114752409,1,1,0,1,1,1,2CH
Q6182203,1,0,1,1,1,1,2CH
Q114752196,1,0,1,1,1,1,2CH
Q123269487,1,1,0,1,1,1,2CH
Q123269545,1,1,0,1,1,1,2CH
Q8064608,1,1,0,1,1,1,2CH
Q139298368,1,1,0,1,1,1,2CH
Q138715678,1,1,0,1,1,1,2CH
Q140130979,1,1,0,1,1,1,2CH
Q114921395,1,0,1,1,1,1,2CH
Q138780065,1,1,0,1,1,1,2CH
Q4832269,2,2,0,1,1,1,2CH
Q19893741,2,0,2,1,1,1,2CH
Q140252927,1,1,0,1,1,1,2CH
Q138768931,1,1,0,1,1,1,2CH
Q140053796,1,1,0,1,1,1,2CH
Q138862815,1,1,0,1,1,1,2CH
Q138936362,1,1,0,1,1,1,2CH
Q140032487,1,1,0,1,1,1,2CH
Q138648102,1,1,0,1,1,1,2CH
Q139571176,1,1,0,1,1,1,2CH
Q139571156,1,1,0,1,1,1,2CH
Q138704639,1,1,0,1,1,1,2CH
Q138787064,1,0,1,1,1,1,2CH
Q138720971,1,1,0,1,1,1,2CH
Q138862822,1,1,0,1,1,1,2CH
Q1966067,1,1,0,1,1,1,2CH
Q116686349,3,2,1,1,1,1,2CH
Q116686355,3,2,1,1,1,1,2CH
Q116686363,3,2,1,1,1,1,2CH
Q116686368,3,2,1,1,1,1,2CH
Q116686376,3,2,1,1,1,1,2CH
Q116686382,3,2,1,1,1,1,2CH
Q123148948,1,1,0,1,1,1,2CH
Q123148903,1,0,1,1,1,1,2CH
Q138787153,1,0,1,1,1,1,2CH
Q2060131,4,4,0,1,1,1,2CH
Q138862846,1,0,1,1,1,1,2CH
Q138787402,1,1,0,1,1,1,2CH
Q139582124,1,1,0,1,1,1,2CH
Q16341302,1,1,0,1,1,1,2CH
Q140382407,1,1,0,1,1,1,2CH
Q138721387,1,1,0,1,1,1,2CH
Q123159230,1,0,1,1,1,1,2CH
Q139557277,1,0,1,1,1,1,2CH
Q123165802,1,0,1,1,1,1,2CH
Q139557409,1,1,0,1,1,1,2CH
Q139928732,1,1,0,1,1,1,2CH
Q140053814,1,1,0,1,1,1,2CH
Q139268377,1,1,0,1,1,1,2CH
Q140499759,3,3,0,2,2,1,2CH
Q139963652,2,2,0,1,1,1,2CH
Q139574764,1,1,0,1,1,1,2CH
Q138936700,1,1,0,1,1,1,2CH
Q138721004,1,1,0,1,1,1,2CH
Q140158808,1,1,0,1,1,1,2CH
Q138769597,1,1,0,1,1,1,2CH
Q125102,6,6,0,2,2,1,2CH
Q158825,142,135,7,40,40,5,2CH;EZR;JER;DAN;MAT
Q8423,22,9,13,11,11,4,2CH;EZR;ISA;DAN
Q55649336,1,1,0,1,1,1,EZR
Q94258346,4,2,2,2,2,1,EZR
Q6884731,2,2,0,2,2,2,EZR;NEH
Q139600850,1,1,0,1,1,1,EZR
Q1577528,3,0,3,3,3,1,EZR
Q138782353,2,0,2,2,2,2,EZR;NEH
Q7124538,2,0,2,2,2,1,EZR
Q138862840,4,0,4,4,4,2,EZR;NEH
Q139008708,2,0,2,2,2,2,EZR;NEH
Q65303005,5,0,5,4,4,2,EZR;NEH
Q139575116,2,0,2,2,2,2,EZR;NEH
Q139075889,2,0,2,2,2,2,EZR;NEH
Q139115091,2,0,2,2,2,2,EZR;NEH
Q139890037,2,0,2,2,2,2,EZR;NEH
Q138834645,2,0,2,2,2,2,EZR;NEH
Q139691790,2,0,2,2,2,2,EZR;NEH
Q139832356,1,0,1,1,1,1,EZR
Q138713779,1,0,1,1,1,1,EZR
Q138713964,2,0,2,2,2,2,EZR;NEH
Q138973384,1,0,1,1,1,1,EZR
Q139601184,2,0,2,2,2,2,EZR;NEH
Q140133508,2,0,2,2,2,2,EZR;NEH
Q139969310,2,0,2,2,2,2,EZR;NEH
Q139780600,2,0,2,2,2,2,EZR;NEH
Q139592150,2,0,2,2,2,2,EZR;NEH
Q139741904,2,0,2,2,2,2,EZR;NEH
Q140030834,2,0,2,2,2,2,EZR;NEH
Q138721677,2,0,2,2,2,2,EZR;NEH
Q139571166,1,0,1,1,1,1,EZR
Q140047323,2,0,2,2,2,2,EZR;NEH
Q783824,21,19,2,9,9,4,EZR;NEH;HAG;ZEC
Q44387,20,12,8,7,7,3,EZR;HAG;ZEC
Q129165,127,126,1,11,11,2,EZR;EST
Q189689,46,37,9,7,7,2,EZR;NEH
Q104783764,1,1,0,1,1,1,EZR
Q131782870,4,4,0,1,1,1,EZR
Q136374598,4,4,0,1,1,1,EZR
Q171191,1,0,1,1,1,1,EZR
Q1613144,11,11,0,4,4,2,EZR;HAG
Q1641601,4,4,0,2,2,1,EZR
Q56433512,4,4,0,2,2,1,EZR
Q191787,28,28,0,4,4,2,EZR;NEH
Q114878222,1,0,1,1,1,1,EZR
Q140158813,1,0,1,1,1,1,EZR
Q138836624,1,0,1,1,1,1,EZR
Q140158822,1,1,0,1,1,1,EZR
Q61895312,1,1,0,1,1,1,EZR
Q139292947,1,0,1,1,1,1,EZR
Q138862830,1,1,0,1,1,1,EZR
Q140130891,1,1,0,1,1,1,EZR
Q138771285,1,1,0,1,1,1,EZR
Q140053892,1,1,0,1,1,1,EZR
Q139268203,1,1,0,1,1,1,EZR
Q138863157,1,1,0,1,1,1,EZR
Q138845234,1,1,0,1,1,1,EZR
Q138771771,1,1,0,1,1,1,EZR
Q140184305,2,2,0,1,1,1,EZR
Q5354451,1,1,0,1,1,1,EZR
Q140158844,1,1,0,1,1,1,EZR
Q138950701,1,0,1,1,1,1,EZR
Q139585866,1,0,1,1,1,1,EZR
Q140320796,1,1,0,1,1,1,EZR
Q138862838,1,1,0,1,1,1,EZR
Q139963579,1,1,0,1,1,1,EZR
Q139592569,1,1,0,1,1,1,EZR
Q139488808,1,1,0,1,1,1,EZR
Q138771951,1,1,0,1,1,1,EZR
Q123165801,1,1,0,1,1,1,EZR
Q138848751,1,1,0,1,1,1,EZR
Q139575318,1,1,0,1,1,1,EZR
Q8063457,1,1,0,1,1,1,EZR
Q139297405,1,1,0,1,1,1,EZR
Q138634837,1,1,0,1,1,1,EZR
Q140248039,1,1,0,1,1,1,EZR
Q138706939,1,1,0,1,1,1,EZR
Q139931507,1,1,0,1,1,1,EZR
Q140316285,1,1,0,1,1,1,EZR
Q140042772,1,1,0,1,1,1,EZR
Q138848768,1,1,0,1,1,1,EZR
Q139963567,1,1,0,1,1,1,EZR
Q123168995,1,0,1,1,1,1,EZR
Q123168982,1,1,0,1,1,1,EZR
Q139495844,1,1,0,1,1,1,EZR
Q14925218,1,0,1,1,1,1,EZR
Q139963558,1,1,0,1,1,1,EZR
Q140131794,1,1,0,1,1,1,EZR
Q123148835,1,1,0,1,1,1,EZR
Q140277282,1,1,0,1,1,1,EZR
Q140288225,1,1,0,1,1,1,EZR
Q139383580,1,1,0,1,1,1,EZR
Q140131733,1,1,0,1,1,1,EZR
Q140042780,1,1,0,1,1,1,EZR
Q138848774,1,1,0,1,1,1,EZR
Q139008353,1,1,0,1,1,1,EZR
Q1025598,7,7,0,5,5,1,NEH
Q5637034,2,0,2,2,2,1,NEH
Q137798603,2,2,0,2,2,1,NEH
Q131753159,1,1,0,1,1,1,NEH
Q751918,10,10,0,4,4,1,NEH
Q4201578,11,11,0,3,3,1,NEH
Q4290819,3,3,0,2,2,1,NEH
Q9252723,11,7,4,3,3,1,NEH
Q135646994,4,0,4,4,4,3,NEH;JER;ZEC
Q137798632,1,1,0,1,1,1,NEH
Q138862854,1,1,0,1,1,1,NEH
Q139591988,1,0,1,1,1,1,NEH
Q139268424,1,1,0,1,1,1,NEH
Q139574817,1,0,1,1,1,1,NEH
Q140133383,1,1,0,1,1,1,NEH
Q139969885,1,1,0,1,1,1,NEH
Q138862662,1,0,1,1,1,1,NEH
Q140316308,1,1,0,1,1,1,NEH
Q139567993,2,2,0,1,1,1,NEH
Q138727580,1,0,1,1,1,1,NEH
Q138862863,1,1,0,1,1,1,NEH
Q140131632,1,0,1,1,1,1,NEH
Q139008748,1,0,1,1,1,1,NEH
Q137798637,1,1,0,1,1,1,NEH
Q112991274,1,1,0,1,1,1,NEH
Q140160096,1,1,0,1,1,1,NEH
Q138757378,1,0,1,1,1,1,NEH
Q139741971,1,0,1,1,1,1,NEH
Q140068852,1,1,0,1,1,1,NEH
Q138716465,1,1,0,1,1,1,NEH
Q139104438,1,1,0,1,1,1,NEH
Q138772237,1,1,0,1,1,1,NEH
Q139694083,4,4,0,3,3,1,NEH
Q140184315,4,4,0,3,3,1,NEH
Q138713794,1,1,0,1,1,1,NEH
Q140320787,1,1,0,1,1,1,NEH
Q139568083,1,1,0,1,1,1,NEH
Q140185477,3,3,0,2,2,1,NEH
Q139694166,1,1,0,1,1,1,NEH
Q125503923,1,1,0,1,1,1,NEH
Q138720623,1,1,0,1,1,1,NEH
Q138721112,1,1,0,1,1,1,NEH
Q140185493,1,1,0,1,1,1,NEH
Q140047142,1,1,0,1,1,1,NEH
Q139383032,1,0,1,1,1,1,NEH
Q140185502,1,1,0,1,1,1,NEH
Q140315804,1,1,0,1,1,1,NEH
Q138862844,1,1,0,1,1,1,NEH
Q139799192,1,1,0,1,1,1,NEH
Q139575205,1,1,0,1,1,1,NEH
Q140146976,1,1,0,1,1,1,NEH
Q138648164,1,1,0,1,1,1,NEH
Q139118559,1,1,0,1,1,1,NEH
Q139582348,1,1,0,1,1,1,NEH
Q138744799,1,1,0,1,1,1,NEH
Q138862880,1,1,0,1,1,1,NEH
Q139884166,1,1,0,1,1,1,NEH
Q138726143,1,1,0,1,1,1,NEH
Q139600900,1,1,0,1,1,1,NEH
Q139216041,1,1,0,1,1,1,NEH
Q139269155,1,0,1,1,1,1,NEH
Q138772286,1,0,1,1,1,1,NEH
Q138721154,1,0,1,1,1,1,NEH
Q140030848,1,0,1,1,1,1,NEH
Q140047193,1,0,1,1,1,1,NEH
Q138640478,1,0,1,1,1,1,NEH
Q138772321,1,0,1,1,1,1,NEH
Q125747629,1,1,0,1,1,1,NEH
Q140472446,1,1,0,1,1,1,NEH
Q138792911,1,0,1,1,1,1,NEH
Q138722307,1,0,1,1,1,1,NEH
Q138772355,1,0,1,1,1,1,NEH
Q138863473,1,1,0,1,1,1,NEH
Q139581847,1,0,1,1,1,1,NEH
Q140320763,1,1,0,1,1,1,NEH
Q139601236,1,1,0,1,1,1,NEH
Q138834681,1,1,0,1,1,1,NEH
Q139270863,1,1,0,1,1,1,NEH
Q139799251,1,0,1,1,1,1,NEH
Q139490514,1,1,0,1,1,1,NEH
Q11979099,4,4,0,1,1,1,NEH
Q6268944,4,4,0,2,2,1,NEH
Q6215520,4,4,0,1,1,1,NEH
Q2723012,2,2,0,1,1,1,NEH
Q138772663,1,1,0,1,1,1,NEH
Q138792923,1,1,0,1,1,1,NEH
Q139270899,1,1,0,1,1,1,NEH
Q138722243,1,1,0,1,1,1,NEH
Q140316349,1,1,0,1,1,1,NEH
Q138772765,2,2,0,1,1,1,NEH
Q139383649,1,1,0,1,1,1,NEH
Q139270923,1,1,0,1,1,1,NEH
Q140131608,1,1,0,1,1,1,NEH
Q138862884,1,1,0,1,1,1,NEH
Q138863241,1,0,1,1,1,1,NEH
Q1917635,1,1,0,1,1,1,EST
Q6578364,2,2,0,2,2,1,EST
Q859753,1,1,0,1,1,1,EST
Q304781,1,1,0,1,1,1,EST
Q2274631,1,1,0,1,1,1,EST
Q115859316,1,1,0,1,1,1,EST
Q123754572,2,2,0,1,1,1,EST
Q123754610,2,2,0,1,1,1,EST
Q123754589,2,2,0,1,1,1,EST
Q123569643,2,2,0,1,1,1,EST
Q137798754,2,2,0,1,1,1,EST
Q137798757,2,2,0,1,1,1,EST
Q10328578,4,4,0,1,1,1,EST
Q5698294,4,4,0,1,1,1,EST
Q1136380,60,60,0,9,9,1,EST
Q85853547,1,0,1,1,1,1,EST
Q123128651,1,0,1,1,1,1,EST
Q123128660,1,0,1,1,1,1,EST
Q732413,53,53,0,7,7,1,EST
Q131840721,3,1,2,2,2,1,EST
Q133500750,1,1,0,1,1,1,EST
Q2776580,3,2,1,2,2,1,EST
Q137798776,3,2,1,2,2,1,EST
Q650680,51,45,6,7,7,1,EST
Q1424200,5,0,5,3,3,1,EST
Q6542762,5,5,0,1,1,1,EST
Q939384,4,4,0,2,2,1,EST
Q138973522,1,1,0,1,1,1,EST
Q138840184,1,1,0,1,1,1,EST
Q138845284,1,1,0,1,1,1,EST
Q138839979,1,1,0,1,1,1,EST
Q133538725,1,1,0,1,1,1,EST
Q179962,68,65,3,24,24,3,JOB;EZK;JAS
Q16070970,1,1,0,1,1,1,JOB
Q3781157,10,10,0,6,6,1,JOB
Q2776374,10,10,0,6,6,1,JOB
Q3867348,9,9,0,5,5,1,JOB
Q471388,6,6,0,4,4,1,JOB
Q130283101,2,0,2,1,1,1,JOB
Q3107413,2,2,0,1,1,1,JOB
Q1478110,2,2,0,1,1,1,JOB
Q3201131,2,2,0,1,1,1,JOB
Q123169391,1,1,0,1,1,1,PSA
Q302,2091,1369,722,255,255,33,PSA;ISA;DAN;HOS;MIC;ZEC;MAL;MAT;MRK;LUK;JHN;ACT;ROM;1CO;2CO;GAL;EPH;PHP;COL;1TH;2TH;1TI;2TI;TIT;PHM;HEB;JAS;1PE;2PE;1JN;2JN;JUD;REV
Q398663,1,1,0,1,1,1,PRO
Q22905935,1,1,0,1,1,1,PRO
Q6521531,2,2,0,1,1,1,PRO
Q138721733,1,0,1,1,1,1,SNG
Q18192190,1,1,0,1,1,1,ISA
Q345,48,44,4,11,11,6,ISA;MAT;MRK;LUK;JHN;ACT
Q124219534,1,1,0,1,1,1,ISA
Q134721755,1,0,1,1,1,1,ISA
Q2903829,3,3,0,1,1,1,ISA
Q208336,3,0,3,1,1,1,ISA
Q7492261,2,2,0,1,1,1,ISA
Q130271252,3,3,0,1,1,1,ISA
Q356505,1,1,0,1,1,1,ISA
Q130266607,1,0,1,1,1,1,ISA
Q40662,125,88,37,33,33,7,ISA;MAL;MAT;MRK;LUK;JHN;ACT
Q25796501,1,0,1,1,1,1,JER
Q124314518,5,5,0,1,1,1,JER
Q124334452,2,0,2,2,2,1,JER
Q124290531,2,0,2,2,2,1,JER
Q2804969,2,1,1,2,2,2,JER;MIC
Q3206316,3,3,0,1,1,1,JER
Q124382215,1,0,1,1,1,1,JER
Q109023366,3,3,0,2,2,1,JER
Q135454523,2,0,2,2,2,1,JER
Q6644516,9,9,0,1,1,1,JER
Q124255564,1,0,1,1,1,1,JER
Q124306645,1,1,0,1,1,1,JER
Q135335813,1,1,0,1,1,1,JER
Q123344686,2,2,0,1,1,1,JER
Q124304818,1,0,1,1,1,1,JER
Q138720632,2,2,0,1,1,1,JER
Q140053993,4,4,0,1,1,1,JER
Q11689901,4,3,1,1,1,1,JER
Q124382772,1,0,1,1,1,1,JER
Q599907,24,24,0,4,4,1,JER
Q6996190,10,0,10,5,5,1,JER
Q124256160,1,1,0,1,1,1,JER
Q124315903,1,0,1,1,1,1,JER
Q6663390,4,3,1,1,1,1,JER
Q124309935,3,3,0,1,1,1,JER
Q124305892,2,2,0,1,1,1,JER
Q138720656,1,1,0,1,1,1,JER
Q18191849,4,4,0,1,1,1,JER
Q124346862,1,0,1,1,1,1,JER
Q124383678,1,0,1,1,1,1,JER
Q124385912,1,1,0,1,1,1,JER
Q124306725,1,0,1,1,1,1,JER
Q32979697,1,1,0,1,1,1,JER
Q2613514,1,0,1,1,1,1,JER
Q124316105,2,2,0,1,1,1,JER
Q140131442,1,0,1,1,1,1,JER
Q130280934,1,0,1,1,1,1,JER
Q124316520,3,3,0,2,2,1,JER
Q124386155,1,1,0,1,1,1,JER
Q124334352,1,0,1,1,1,1,JER
Q177617,6,6,0,2,2,1,JER
Q86678325,2,2,0,1,1,1,JER
Q131920039,1,1,0,1,1,1,JER
Q140377305,1,1,0,1,1,1,JER
Q124392739,1,0,1,1,1,1,JER
Q124310316,1,0,1,1,1,1,JER
Q124375387,2,0,2,2,2,1,JER
Q140377442,2,2,0,1,1,1,JER
Q194064,94,94,0,39,39,1,EZK
Q135297,1,0,1,1,1,1,EZK
Q126009060,1,1,0,1,1,1,EZK
Q124382588,1,0,1,1,1,1,EZK
Q130284718,1,0,1,1,1,1,EZK
Q18192102,2,2,0,1,1,1,EZK
Q130288546,2,0,2,1,1,1,EZK
Q171724,86,83,3,12,12,3,EZK;DAN;MAT
Q5882214,10,0,0,2,2,1,EZK
Q110844406,4,4,0,1,1,1,DAN
Q5891723,22,22,0,3,3,1,DAN
Q11343582,22,22,0,3,3,1,DAN
Q8183887,22,22,0,3,3,1,DAN
Q124541190,4,4,0,1,1,1,DAN
Q225198,20,19,1,3,3,1,DAN
Q603176,30,30,0,3,3,1,DAN
Q81989,12,12,0,3,3,2,DAN;LUK
Q45581,5,4,1,4,4,3,DAN;JUD;REV
Q665541,5,5,0,1,1,1,HOS
Q124751797,1,0,1,1,1,1,HOS
Q5581166,4,4,0,2,2,1,HOS
Q126194507,1,0,1,1,1,1,HOS
Q11727245,2,2,0,1,1,1,HOS
Q11762292,3,3,0,1,1,1,HOS
Q11762291,1,1,0,1,1,1,HOS
Q45053,2,1,1,2,2,2,JOL;ACT
Q126367633,1,0,1,1,1,1,JOL
Q213850,8,8,0,3,3,1,AMO
Q11957664,2,2,0,1,1,1,AMO
Q479645,1,1,0,1,1,1,OBA
Q2468262,29,20,9,7,7,3,JON;MAT;LUK
Q4746955,1,0,1,1,1,1,JON
Q1981722,1,1,0,1,1,1,NAM
Q135106,2,2,0,2,2,1,HAB
Q1761359,1,1,0,1,1,1,ZEP
Q115749766,1,0,1,1,1,1,ZEP
Q115750150,1,0,1,1,1,1,ZEP
Q115750166,1,0,1,1,1,1,ZEP
Q604259,5,4,1,3,3,2,ZEC;MAT
Q18238415,2,0,2,1,1,1,ZEC
Q125481695,2,0,2,1,1,1,ZEC
Q139571184,2,2,0,1,1,1,ZEC
Q138837009,2,0,2,1,1,1,ZEC
Q123272167,1,1,0,1,1,1,ZEC
Q5767200,1,1,0,1,1,1,MAL
Q321170,2,0,2,1,1,1,MAT
Q12876922,2,0,2,1,1,1,MAT
Q11907447,2,0,2,1,1,1,MAT
Q18699268,2,0,2,1,1,1,MAT
Q11906322,2,0,2,1,1,1,MAT
Q18699272,2,0,2,1,1,1,MAT
Q18699300,2,0,2,1,1,1,MAT
Q11936164,2,0,2,1,1,1,MAT
Q11927082,2,0,2,1,1,1,MAT
Q128267,24,18,6,8,8,3,MAT;LUK;JHN
Q51672,10,8,2,2,2,2,MAT;LUK
Q244345,1,1,0,1,1,1,MAT
Q33923,262,251,11,60,60,9,MAT;MRK;LUK;JHN;ACT;1CO;GAL;1PE;2PE
Q43399,53,49,4,28,28,6,MAT;MRK;LUK;JHN;ACT;GAL
Q43999,72,65,7,32,32,6,MAT;MRK;LUK;JHN;ACT;GAL
Q169363,12,2,10,10,10,4,MAT;MRK;LUK;JHN
Q44015,99,92,7,38,38,6,MAT;MRK;LUK;JHN;ACT;GAL
Q23581940,3,3,0,3,3,3,MAT;MRK;LUK
Q43600,49,45,4,25,25,6,MAT;MRK;LUK;JHN;ACT;GAL
Q43675,54,50,4,26,26,6,MAT;MRK;LUK;JHN;ACT;GAL
Q43982,43,39,4,23,23,6,MAT;MRK;LUK;JHN;ACT;GAL
Q43669,50,46,4,27,27,6,MAT;MRK;LUK;JHN;ACT;GAL
Q44047,46,42,4,26,26,6,MAT;MRK;LUK;JHN;ACT;GAL
Q43945,44,40,4,24,24,6,MAT;MRK;LUK;JHN;ACT;GAL
Q12871,43,39,4,23,23,6,MAT;MRK;LUK;JHN;ACT;GAL
Q81018,66,62,4,22,22,5,MAT;MRK;LUK;JHN;ACT
Q1542853,1,0,1,1,1,1,MAT
Q26925,5,0,5,4,4,2,MAT;GAL
Q2721201,2,0,2,2,2,1,MAT
Q3099259,1,0,1,1,1,1,MAT
Q2464332,1,0,1,1,1,1,MAT
Q192950,36,30,6,10,10,4,MAT;MRK;LUK;ACT
Q230091,12,10,2,3,3,3,MAT;MRK;LUK
Q345647,5,0,5,3,3,3,MAT;MRK;LUK
Q228896,6,6,0,2,2,2,MAT;MRK
Q137699169,5,0,5,3,3,2,MAT;JHN
Q233067,2,2,0,2,2,1,MAT
Q211246,13,9,4,7,7,5,MAT;MRK;LUK;JHN;ACT
Q718460,2,2,0,2,2,2,MAT;MRK
Q17131,63,58,5,10,10,5,MAT;MRK;LUK;JHN;ACT
Q313417,14,13,1,5,5,5,MAT;MRK;LUK;JHN;ACT
Q263459,1,1,0,1,1,1,MAT
Q328739,3,3,0,3,3,3,MAT;MRK;LUK
Q284623,5,5,0,4,4,4,MAT;MRK;LUK;JHN
Q355121,5,5,0,4,4,4,MAT;MRK;LUK;JHN
Q63070,16,16,0,8,8,4,MAT;MRK;LUK;JHN
Q235377,3,3,0,2,2,1,MAT
Q271474,7,7,0,4,4,4,MAT;MRK;LUK;JHN
Q106075464,3,0,3,3,3,3,MRK;LUK;ACT
Q42893947,12,12,0,2,2,2,MRK;LUK
Q325476,7,7,0,2,2,2,MRK;LUK
Q35363545,12,12,0,2,2,2,MRK;LUK
Q809440,4,4,0,1,1,1,MRK
Q41111704,1,0,1,1,1,1,MRK
Q726674,6,5,1,3,3,3,MRK;LUK;JHN
Q51680,20,19,1,5,5,4,MRK;LUK;JHN;ACT
Q63746299,1,1,0,1,1,1,MRK
Q1384449,2,2,0,2,2,2,LUK;ACT
Q139464,15,14,1,2,2,1,LUK
Q235849,14,14,0,1,1,1,LUK
Q1405,1,1,0,1,1,1,LUK
Q313398,1,1,0,1,1,1,LUK
Q345205,4,4,0,1,1,1,LUK
Q1774668,1,1,0,1,1,1,LUK
Q7180641,1,0,1,1,1,1,LUK
Q1407,1,0,1,1,1,1,LUK
Q2474891,1,0,1,1,1,1,LUK
Q25668671,1,0,1,1,1,1,LUK
Q25668670,1,0,1,1,1,1,LUK
Q25668669,1,0,1,1,1,1,LUK
Q25668668,1,0,1,1,1,1,LUK
Q25668667,1,0,1,1,1,1,LUK
Q25668666,1,0,1,1,1,1,LUK
Q25668665,1,0,1,1,1,1,LUK
Q25668664,1,0,1,1,1,1,LUK
Q25668663,1,0,1,1,1,1,LUK
Q25668662,1,0,1,1,1,1,LUK
Q25668661,1,0,1,1,1,1,LUK
Q25668660,1,0,1,1,1,1,LUK
Q25668659,1,0,1,1,1,1,LUK
Q25668657,1,0,1,1,1,1,LUK
Q25668658,1,0,1,1,1,1,LUK
Q25668656,1,0,1,1,1,1,LUK
Q25668655,1,0,1,1,1,1,LUK
Q25668652,1,0,1,1,1,1,LUK
Q25668653,1,0,1,1,1,1,LUK
Q25668651,1,0,1,1,1,1,LUK
Q25668650,1,0,1,1,1,1,LUK
Q25668649,1,0,1,1,1,1,LUK
Q25668648,1,0,1,1,1,1,LUK
Q25668647,1,0,1,1,1,1,LUK
Q25668646,1,0,1,1,1,1,LUK
Q25668645,1,0,1,1,1,1,LUK
