qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q479645,1,1,0,1,1
Q220822,7,0,2,6,1
Q289957,5,0,2,4,1
Q145746,1,0,1,1,1
Q460763,1,0,0,1,1
